Name,Code,CURRENCY,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q4 2005
CHINA BAOAN GP.'A',CN:BAN(P),CH,18.27,8.68,7.53,7,8.51,5.88,6.19,4.41,4.76,5.59,3.59,3.87,4.08,5.06,6.02,7.49,6.74,7.64,8.63,8.65,8.46,8.48,11.09,6.54,10.07,10.31,7.99,8.2,5.25,5.42,4.86,5.3,4.92,4.46,3.94,3.99,4.47,4.54,4.88,7.19,7.7,8.14,7.5,5.35,3.85,5.32,4.91,4.59,5.05,4.16,1.7,1.38,2.07,6.1,6.77,6.19,4.94,3.2,1.8,1.86,1.55,1.25,0.98
CHINA BAOAN GP.'A' - TOTAL ASSETS,CN:BAN(WC02999A),CH,32675483,31818598,31428626,31065038,29182800,29735392,29674165,30004953,29452940,29512638,29337685,28419883,27940354,27116918,26772655,26403877,24020153,22402469,21398904,19318309,18551853,18632345,17994933,16571278,15242488,14937873,14633612,13687806,13673014,14209174,13519669,13814946,13240899,13074288,13118446,12828462,12484752,11994834,11737594,11258728,10353272,10040901,10034871,9761519,9065929,9250028,7493967,7199379,7842753,6299273,6081166,6114645,6088036,6015636,5867520,6192988,6142016,5741803,5529975,5431782,5395840,5166250,4923942
CHINA BAOAN GP.'A' - MRKT VALUE TO BOOK,CN:BAN(MTBV),CH,6.81,3.23,2.81,2.61,3.17,2.19,2.88,2.05,2.22,2.61,1.76,1.89,2,2.48,3.11,3.86,3.48,3.94,4.98,4.99,4.88,4.89,6.39,3.77,5.81,5.95,5.95,6.1,3.91,4.03,3.7,4.04,3.75,3.39,3.21,3.25,3.65,3.7,4.49,6.62,7.09,7.49,7.33,5.23,3.76,5.2,5.96,5.57,6.13,5.05,2.4,1.95,2.93,7.97,8.92,8.15,6.51,4.21,2.93,3.02,2.52,2.04,1.86
CHINA BAOAN GP.'A' - MARKET VALUE,CN:BAN(MV),CH,47122.23,22387.58,19421.48,18054.5,21949.12,15165.78,15965.34,11374.34,12272.75,14422.1,9263.68,9972.96,10531.79,13046.52,15539.76,19322.61,17388.2,19709.49,22267.21,22310.2,21811.86,21859.62,28594.25,16860.41,25967.25,26588.18,19492.82,20004.6,12807.04,13220.98,11853.73,12919.93,11998.26,10863.88,9598.6,9718.59,10907.5,11060.21,11889.18,17539.26,18782.71,19840.74,18291.88,13034.47,9380.45,12969.02,11976.44,11202.01,12320.28,10149.17,4134.46,3365.74,5059,13739.74,15245.07,13931.5,11122.19,7191.07,4055.76,4180.41,3480.48,2818.9,2214.85
CHINA BAOAN GP.'A' - TOT ASSETS/CMN EQUITY RATIO,CN:BAN(WC08287A),CH,4.35,4.492,4.54,4.592,5.14,5.347,5.361,5.568,5.513,5.58,5.566,5.585,5.499,5.41,5.355,5.678,5.296,4.947,4.784,4.257,4.083,4.171,4.024,3.708,4.08,4.008,4.465,4.034,4.088,4.414,4.223,4.194,4.413,4.348,4.389,4.51,4.447,4.482,4.431,4.286,3.929,3.844,4.023,4.033,4.076,4.069,3.726,3.802,4.166,3.168,3.526,3.595,3.529,3.554,3.432,3.64,3.744,3.743,3.996,4.581,4.539,4.345,4.143
CHINA VANKE 'A',CN:VAN(P),CH,23.81,30,28.7,28.02,26.14,25.65,32.18,25.9,27.81,30.72,23.82,24.3,24.6,33.29,31.06,26.25,24.97,20.58,20.55,26.17,24.43,24.43,24.43,12.73,14.52,13.82,13.9,9.18,8.27,8.09,8.03,9.13,9.85,10.76,10.12,8.43,8.91,8.28,7.47,7.24,8.45,8.69,8.22,8.4,6.78,9.5,10.81,10.42,12.75,8.28,6.45,6.53,9.01,16,18.02,18.88,11.89,6.88,6.4,3.14,2.34,2.72,1.79
CHINA VANKE 'A' - TOTAL ASSETS,CN:VAN(WC02999A),CH,1925708433,1878922828,1841705540,1787266930,1780375968,1715262455,1706575711,1617254833,1557324108,1533040064,1512914210,1419051297,1333080392,1213349343,1155788371,1010012156,921444704,878955913,823650888,749484562,706321430,653433320,606325446,566200196,532693187,521934330,504623722,516146406,498335627,NA,475680061,457562317,428750140,414571711,375874962,344748089,327936704,308102233,294208055,281448416,259366082,233902374,214341505,186946447,159551671,147403655,136761710,130009736,124799355,124941504,119136930,123022817,111600485,107075234,100533571,95717585,63933505,50214672,48981740,43306611,29058781,24535038,22903608
CHINA VANKE 'A' - MRKT VALUE TO BOOK,CN:VAN(MTBV),CH,1.23,1.55,1.49,1.45,1.35,1.33,1.93,1.56,1.67,1.85,1.69,1.72,1.74,2.36,2.58,2.18,2.08,1.71,2,2.55,2.38,2.38,2.7,1.4,1.6,1.52,1.74,1.15,1.04,1.01,1.15,1.31,1.41,1.54,1.74,1.45,1.53,1.43,1.55,1.5,1.75,1.8,2.04,2.09,1.69,2.36,3.18,3.07,3.75,2.44,2.22,2.25,3.11,5.52,6.77,7.09,4.25,2.46,4.52,1.98,1.48,1.7,1.91
CHINA VANKE 'A' - MARKET VALUE,CN:VAN(MV),CH,231533.1,291725.8,279084.3,272471.9,254190.4,249425.5,312924.5,251856.6,270429.8,298727.3,231630.4,236297.9,239215.2,323718.4,302033.4,255260.1,242813.1,200123.9,199832.2,254482.1,237562,237561.5,237866.4,123902.3,141324.6,134365.6,135143.4,89046.63,80219.5,78473,77891,88549.69,95353.81,104163.2,97967.56,81604.5,86251,80152.44,72311.44,70085,81798.06,84121.38,79571.63,81314.06,65632.06,91962.31,104643.5,100868.2,123423.2,80152.44,62437.62,63212.01,87219,154883.9,174486.5,182714.7,109614.9,63406.94,59011.68,25904.54,19334.3,22198.38,13674.02
CHINA VANKE 'A' - TOT ASSETS/CMN EQUITY RATIO,CN:VAN(WC08287A),CH,8.68,8.325,8.203,8.818,9.101,9.092,9.075,9.668,9.672,9.73,9.713,10.136,9.883,8.91,8.711,8.679,8.18,7.712,7.26,7.465,7.247,6.493,6.052,6.367,6.104,5.873,5.724,6.573,6.481,NA,6.186,6.703,6.433,6.322,5.889,6.121,5.952,5.668,5.554,6.002,5.613,5.137,4.846,4.644,4.012,3.782,3.659,3.721,3.615,3.822,3.736,4.089,3.718,3.545,3.434,3.667,4.043,3.207,3.281,4.296,2.77,2.578,2.735
